<<Tax Map Parcel Number>>,Tax Map 1st Num,<<Parcel Street Address1>>,<<Parcel Street Address2>>,Application Type:,Application Status,Changes to Application,<<Last Application Year>>,<<Expiration Date>>,<<Current square footage of impervious surface >>,<<Billing Units>>,Billing Rate,<<Credit Percent>>,<<Original Fee>>,<<Credit Amount>>,<<New Fee>>,Septic Connection Credit,Disconnected Downspouts,Rain Garden,Vegetated Filter Strip,Rain Barrel,Tree Cover,Conservation Landscaping,Nutrient Management Plan,<<Credit Items>>,"Roof Area
(For reporting disconnects)","Rain Barrel Area
(for reporting Rain Barrels)","Pervious Area
(For reporting NMP)"
23_H_22,23,675 New York Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 4,715.87 ",9,$6.00,50%, $54.00 , $27.00 , $27.00 ,,20%,,,20%,,10%,10%,* 100% Disconnected Downspouts * Rain Barrel * Conservation Landscaping * Nutrient Management Plan * ,"3,017.80","3,017.00","25,959.00"
23_J_18-21,23,620 Fir St,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 3,326.28 ",7,$6.00,40%, $42.00 , $16.80 , $25.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,230.00",,"5,672.00"
23_L_6,23,760 Grove St,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 4,842.68 ",10,$6.00,50%, $60.00 , $30.00 , $30.00 ,,20%,,,,10%,10%,10%,* 100% Disconnected Downspouts * Tree Cover * Conservation Landscaping * Nutrient Management Plan * ,"1,800.00",,"2,767.00"
23_L_26-29,23,711 New York Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 3,990.74 ",8,$6.00,50%, $48.00 , $24.00 , $24.00 ,,20%,50%,,,,,,* 100% Disconnected Downspouts * Rain Garden * ,"3,500.00",,
23_V_2,23,881 Londonderry Ct,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 4,974.08 ",10,$6.00,40%, $60.00 , $24.00 , $36.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,461.00",,"15,188.00"
23_Y_24,23,610 Circle Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 4,066.62 ",8,$6.00,40%, $48.00 , $19.20 , $28.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,524.00",,"20,686.00"
23_G_7-10,23,835 Elmwood Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 2,664.40 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"3,017.00",800.00,"10,725.00"
23_A_1-2,23,380 Sunrise Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 3,306.27 ",7,$6.00,50%, $42.00 , $21.00 , $21.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"1,039.00",652.00,"1,800.00"
23_I_14 15 16,23,745 S Dogwood Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 3,017.12 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,,20%,,,20%,,10%,10%,* 100% Disconnected Downspouts * Rain Barrel * Conservation Landscaping * Nutrient Management Plan * ,260.00,300.00,DNR
23_Q_27,23,977 S Dogwwod Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 1,764.80 ",4,$6.00,50%, $24.00 , $12.00 , $12.00 ,,20%,,,20%,10%,10%,,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Conservation Landscaping * ,"1,400.00","1,400.00",
23_U_0,23,1044 S Dogwood Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 3,156.52 ",6,$6.00,30%, $36.00 , $10.80 , $25.20 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"2,100.00",,"5,735.00"
23_A_5,23,360 Sunrise Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2019,6/30/2024, 45.50 ,0,$6.00,50%, $-   , $-   , $-   ,,20%,50%,,,10%,10%,,* 100% Disconnected Downspouts * Rain Garden * Tree Cover * Conservation Landscaping * ,"3,100.00",,
23_R_4,23,611 Circle Dr,"Harrisonburg, VA 22801",Septic Credit,Approved-DNE,,DNE-2019,DNE," 3,398.64 ",7,$6.00,50%, $42.00 , $21.00 , $21.00 ,50%,,,,,,,,* Septic Connection Credit * ,,,
23_Y_23,23,620 Circle Dr,"Harrisonburg, VA 22801",Septic Credit,Approved-DNE,,DNE-2019,DNE," 5,262.45 ",11,$6.00,50%, $66.00 , $33.00 , $33.00 ,50%,,,,,,,,* Septic Connection Credit * ,,,
24_A_7-11,24,539 S Dogwood Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 5,251.15 ",11,$6.00,50%, $66.00 , $33.00 , $33.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"3,100.00",585.00,"10,000.00"
24_F_15,24,301 New York Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,516.39 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"1,400.00",100.00,"10,000.00"
24_B_20-21,24,431 Ohio Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 2,291.65 ",5,$6.00,40%, $30.00 , $12.00 , $18.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,292.00",,"3,100.00"
24_B_22-24,24,441 Ohio Ave,"Harrisonburg, VA 22801",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 3,205.55 ",6,$6.00,0%, $36.00 , $-   , $36.00 ,,,,,20%,10%,10%,10%,* Rain Barrel * Tree Cover * Conservation Landscaping * Nutrient Management Plan * ,,,
24_D_6,24,312 S Dogwood Dr,"Harrisonburg, VA 22801",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 2,239.52 ",4,$6.00,0%, $24.00 , $-   , $24.00 ,,,,,20%,,,,* Rain Barrel * ,,,
24_F_3,24,340 Maryland Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 3,126.32 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,,20%,,,20%,,10%,10%,* 100% Disconnected Downspouts * Rain Barrel * Conservation Landscaping * Nutrient Management Plan * ,920.00,500.00,"4,500.00"
24_B_5-7,24,430 New York Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 1,867.60 ",4,$6.00,50%, $24.00 , $12.00 , $12.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"1,200.00",985.00,"4,932.00"
24_G_2,24,311 Ohio Ave,"Harrisonburg, VA 22801",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 3,606.25 ",7,$6.00,0%, $42.00 , $-   , $42.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,
24_O_10,24,156 Maryland Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,150.33 ",4,$6.00,50%, $24.00 , $12.00 , $12.00 ,,,25%,,20%,10%,10%,10%,* Rain Garden * Rain Barrel * Tree Cover * Conservation Landscaping * Nutrient Management Plan * ,,224.00,"1,400.00"
24_P_6,24,602-604 S High St,"Harrisonburg, VA 22801",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 2,751.63 ",6,$6.00,0%, $36.00 , $-   , $36.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,
24_K_1-2,24,501 S High St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 7,093.66 ",14,$6.00,20%, $84.00 , $16.80 , $67.20 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"7,612.00"
24_K_6,24,210 Ohio Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 2,607.64 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,20%,,,20%,10%,,,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * ,"1,636.00",300.00,
25_B_8,25,265 W Water St,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 6,755.41 ",14,$6.00,20%, $84.00 , $16.80 , $67.20 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"1,634.00"
25_D_4,25,127 Old South High St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 1,464.05 ",3,$6.00,20%, $18.00 , $3.60 , $14.40 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"2,347.00"
25_D_3,25,143 Old South High St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 2,198.17 ",4,$6.00,30%, $24.00 , $7.20 , $16.80 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,322.00",,"2,815.00"
25_F_2,25,267 S Liberty St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 11,760.54 ",24,$6.00,10%, $144.00 , $14.40 , $129.60 ,,,,,,,,10%,* Nutrient Management Plan * ,,,"6,516.00"
25_E_4,25,277 W Bruce St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 4,520.92 ",9,$6.00,10%, $54.00 , $5.40 , $48.60 ,,,,,,,,10%,* Nutrient Management Plan * ,,,DNR
25_M_13,25,520/522 Federal St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 3,876.27 ",8,$6.00,30%, $48.00 , $14.40 , $33.60 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,912.00
25_G_10,25,293 Old South High St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 5,969.99 ",12,$6.00,20%, $72.00 , $14.40 , $57.60 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"1,427.00"
25_I_2,25,325 S Liberty St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 4,274.25 ",9,$6.00,20%, $54.00 , $10.80 , $43.20 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"2,300.00"
25_M_12,25,537 Layman Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 3,040.40 ",6,$6.00,40%, $36.00 , $14.40 , $21.60 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,056.00",,DNR
25_M_14A,25,547 Layman Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 2,800.26 ",6,$6.00,10%, $36.00 , $3.60 , $32.40 ,,10%,,,,,,,* 50% Disconnected Downspouts * ,,,
25_D_1-2,25,159 Old South High St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 5,383.26 ",11,$6.00,20%, $66.00 , $13.20 , $52.80 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"1,780.00"
25_G_11,25,285/287 Old South High St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 3,033.27 ",6,$6.00,30%, $36.00 , $10.80 , $25.20 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,512.00",,"3,150.00"
25_C_13,25,120 Old South High St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 3,843.13 ",8,$6.00,10%, $48.00 , $4.80 , $43.20 ,,,,,,,,10%,* Nutrient Management Plan * ,,,"1,137.00"
25_M_19,25,537 S Mason St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 4,219.97 ",8,$6.00,30%, $48.00 , $14.40 , $33.60 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,760.00
25_B_16,25,284 W Bruce St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 1,848.46 ",4,$6.00,20%, $24.00 , $4.80 , $19.20 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"2,518.00"
25_B_17,25,270 W Bruce St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 3,406.61 ",7,$6.00,20%, $42.00 , $8.40 , $33.60 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"1,495.00"
25_N_11,25,85 E Grattan St,"Harrisonburg, VA 22801",Credit Application,Approved,,2019,6/30/2024," 2,605.02 ",5,$6.00,30%, $30.00 , $9.00 , $21.00 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,772.00
25_M_8,25,47 Paul St,"Harrisonburg, VA 22801",Credit Application,Approved,,2019,6/30/2024," 3,534.15 ",7,$6.00,20%, $42.00 , $8.40 , $33.60 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"1,354.00"
25_G_15,25,263 Old South High St,"Harrisonburg, VA 22801",Credit Application,Approved,,2019,6/30/2024," 3,498.84 ",7,$6.00,20%, $42.00 , $8.40 , $33.60 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,740.00
26_F_11,26,287 Newman Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2022,6/30/2027," 3,335.51 ",7,$6.00,50%, $42.00 , $21.00 , $21.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"1,700.00",300.00,"2,000.00"
26_F_12,26,289 Newman Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2022,6/30/2027," 5,543.56 ",11,$6.00,50%, $66.00 , $33.00 , $33.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"3,500.00",600.00,"1,484.50"
26_Q_13,26,387 Monticello Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 4,909.49 ",10,$6.00,50%, $60.00 , $30.00 , $30.00 ,,10%,,,20%,10%,,10%,* 50% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,,700.00,"14,000.00"
26_A_18,26,65 Ott St,"Harrisonburg, VA 22801",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 1,405.93 ",3,$6.00,0%, $18.00 , $-   , $18.00 ,,20%,,,,,10%,10%,* 100% Disconnected Downspouts * Conservation Landscaping * Nutrient Management Plan * ,,,
26_P_1,26,487 Ott St,"Harrisonburg, VA 22801",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 2,970.72 ",6,$6.00,0%, $36.00 , $-   , $36.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,,,
26_S_16,26,340 Paul St,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 4,270.50 ",9,$6.00,20%, $54.00 , $10.80 , $43.20 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"8,420.00"
26_K_8,26,91 Franklin St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 3,835.92 ",8,$6.00,20%, $48.00 , $9.60 , $38.40 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,50.00
26_P_54,26,240 Paul St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 2,658.73 ",5,$6.00,10%, $30.00 , $3.00 , $27.00 ,,,,,,,,10%,* Nutrient Management Plan * ,,,"1,644.00"
26_P_53,26,242 Paul St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 1,721.84 ",3,$6.00,10%, $18.00 , $1.80 , $16.20 ,,,,,,,,10%,* Nutrient Management Plan * ,,,"2,146.00"
26_O_9,26,437 S Mason St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 5,411.81 ",11,$6.00,10%, $66.00 , $6.60 , $59.40 ,,,,,,,,10%,* Nutrient Management Plan * ,,,498.00
26_O_10,26,455 S Mason St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 3,216.66 ",6,$6.00,10%, $36.00 , $3.60 , $32.40 ,,,,,,,,10%,* Nutrient Management Plan * ,,,"1,827.00"
26_O_11,26,465 S Mason St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 7,557.58 ",15,$6.00,20%, $90.00 , $18.00 , $72.00 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"1,698.00"
26_T_2,26,570 S Mason St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 5,794.60 ",12,$6.00,30%, $72.00 , $21.60 , $50.40 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"3,557.00"
26_R_4,26,211 Paul St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 2,117.06 ",4,$6.00,30%, $24.00 , $7.20 , $16.80 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"5,733.00"
26_P_17-19,26,286 Paul St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 8,651.08 ",17,$6.00,40%, $102.00 , $40.80 , $61.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,363.00",,"2,000.00"
26_Q_4,26,368 Ott St,"Harrisonburg, VA 22801",Credit Application,Expired,Moved-Credit Removed,2016,6/30/2021," 4,222.46 ",8,$6.00,0%, $48.00 , $-   , $48.00 ,,,,,,,,,* ,,,
26_L_5,26,245 Franklin St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 3,649.35 ",7,$6.00,50%, $42.00 , $21.00 , $21.00 ,,20%,,,20%,10%,,,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * ,"2,500.00",300.00,
26_K_13 18 19,26,130 Campbell St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 13,483.50 ",27,$6.00,20%, $162.00 , $32.40 , $129.60 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"9,729.00"
26_O_14,26,485 S Mason St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 3,715.42 ",7,$6.00,40%, $42.00 , $16.80 , $25.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,856.00",,DNR
26_O_12,26,473 S Mason St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 7,567.78 ",15,$6.00,30%, $90.00 , $27.00 , $63.00 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,DNR
26_P_32,26,478 S Mason St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 4,548.15 ",9,$6.00,30%, $54.00 , $16.20 , $37.80 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,904.00",,"15,049.00"
26_P_27,26,496 S Mason St,"Harrisonburg, VA 22801",Credit Application,Approved,,2019,6/30/2024," 2,231.01 ",4,$6.00,30%, $24.00 , $7.20 , $16.80 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"3,095.00"
26_T_19,26,651 Ott St,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 4,913.33 ",10,$6.00,40%, $60.00 , $24.00 , $36.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"3,270.00",,"1,240.00"
26_T_20,26,282/284 E Grattan St,"Harrisonburg, VA 22801",Credit Application,Approved,,2019,6/30/2024," 2,509.07 ",5,$6.00,20%, $30.00 , $6.00 , $24.00 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"1,967.00"
26_I_5,26,250 Franklin St,"Harrisonburg, VA 22801",Credit Application,Approved,,2019,6/30/2024," 4,340.11 ",9,$6.00,50%, $54.00 , $27.00 , $27.00 ,,10%,,,20%,10%,,10%,* 50% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,,390.00,"2,600.00"
26_U_11,26,321 Paul St,"Harrisonburg, VA 22801",Septic Credit,Approved-DNE,,DNE-2019,DNE," 3,789.90 ",8,$6.00,50%, $48.00 , $24.00 , $24.00 ,50%,,,,,,,,* Septic Connection Credit * ,,,
27_Q_12,27,346 Monticello Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,612.03 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"1,660.00","1,280.00","1,551.00"
27_E_4,27,511 E Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 7,737.08 ",15,$6.00,30%, $90.00 , $27.00 , $63.00 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"8,214.00"
27_S_37,27,568 Norwood St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 1,995.72 ",4,$6.00,30%, $24.00 , $7.20 , $16.80 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,000.00",,800.00
27_V_4,27,468 Myers Ave,"Harrisonburg, VA 22801",Credit Application,Expired,Moved-Credit Removed,2016,6/30/2021," 2,815.65 ",6,$6.00,0%, $36.00 , $-   , $36.00 ,,,,,,,,,* ,,,
27_V_4,27,468 Myers Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 2,815.65 ",6,$6.00,40%, $36.00 , $14.40 , $21.60 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,940.00",,"5,555.00"
28_A_14,28,909 Country Club Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 3,408.17 ",7,$6.00,40%, $42.00 , $16.80 , $25.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,840.00",,"2,675.00"
28_B_7-8,28,808 Spotswood Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 3,366.04 ",7,$6.00,30%, $42.00 , $12.60 , $29.40 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"3,515.00"
28_C_12-14,28,901 Spotswood Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 7,462.74 ",15,$6.00,30%, $90.00 , $27.00 , $63.00 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"6,250.00",,"9,500.00"
28_I_1,28,910 Country Club Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 2,950.92 ",6,$6.00,10%, $36.00 , $3.60 , $32.40 ,,,,,,,,10%,* Nutrient Management Plan * ,,,"7,000.00"
28_N_34,28,870 Vine St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 2,204.47 ",4,$6.00,40%, $24.00 , $9.60 , $14.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,340.00,,"1,200.00"
28_N_47,28,910 Vine St,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 1,423.28 ",3,$6.00,0%, $18.00 , $-   , $18.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,
28_P_49,28,855 Vine St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025, 900.18 ,2,$6.00,30%, $12.00 , $3.60 , $8.40 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,630.00,,"1,593.00"
28_Q_5,28,955 Starcrest Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 3,843.96 ",8,$6.00,40%, $48.00 , $19.20 , $28.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,591.00",,"10,061.00"
28_I_3,28,570 Blue Ridge Dr,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2016,6/30/2021," 2,860.42 ",6,$6.00,0%, $36.00 , $-   , $36.00 ,,,,,,,,,* ,,,
29_O_9,29,1069 Meadowlark Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,355.81 ",3,$6.00,40%, $18.00 , $7.20 , $10.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,850.00,,"1,800.00"
29_P_7,29,840 Blue Ridge Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 4,634.91 ",9,$6.00,40%, $54.00 , $21.60 , $32.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,890.00",,"6,000.00"
29_K_3,29,860 Mockingbird Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 3,619.20 ",7,$6.00,50%, $42.00 , $21.00 , $21.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"1,800.00",,"2,600.00"
29_N_11,29,1355 Meadowlark Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 4,114.13 ",8,$6.00,50%, $48.00 , $24.00 , $24.00 ,,20%,,,20%,10%,,,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * ,"2,464.00",880.00,
29_O_7-8,29,1071 and 1073 Meadowlark Dr,"Harrisonburg, VA 22802",Credit Application,Expired,,2016,6/30/2021," 1,903.37 ",4,$6.00,0%, $24.00 , $-   , $24.00 ,,,,,,,,,* ,,,
29_G_0,29,1201 Clay St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,649.09 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,10%,,,20%,10%,,10%,* 50% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,,650.00,"11,000.00"
29_I_6,29,949 Broadview Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 1,957.84 ",4,$6.00,10%, $24.00 , $2.40 , $21.60 ,,,,,,,,10%,* Nutrient Management Plan * ,,,"7,803.00"
29_I_7,29,957 Broadview Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 6,295.18 ",13,$6.00,40%, $78.00 , $31.20 , $46.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,800.00",,"1,531.00"
